,symbol,price,yearHigh,yearLow,eps,pe,marketCap,avgVolume
0,ABT,89.83,100.0,61.61,1.991,45.11803,$158895.8M,10.5M
0,AMD,52.56,59.27,26.03,0.426,123.38029,$61557.7M,82.8M
0,APD,223.35,257.01,167.43,8.754,25.514051,$49328.0M,1.5M
0,SWKS,99.615,128.48,66.29,4.777,20.853046,$16891.0M,2.7M
0,AEP,83.05,104.97,65.14,3.88,21.40464,$41095.9M,3.8M
0,ADI,103.4,127.3,79.08,3.251,31.8056,$38074.0M,3.4M
0,ADP,144.48,182.32,103.11,5.827,24.794918,$62097.5M,2.9M
0,BLL,66.15,82.82,51.26,1.66,39.8494,$21550.7M,2.7M
0,BAX,87.27,95.19,69.1,1.908,45.73899,$44406.1M,3.5M
0,BDX,255.27,286.72,197.75,2.763,92.38871,$69222.3M,2.5M
0,BMY,60.17,68.34,42.48,2.01,29.935322,$136132.2M,16.4M
0,CINF,60.145,118.19,58.67,0.466,129.06653,$9671.4M,1.2M
0,CLX,199.27,214.26,144.12,6.816,29.235622,$24928.7M,2.6M
0,CL,69.48,77.41,58.49,2.93,23.71331,$59575.4M,5.7M
0,CAG,33.42,35.59,22.83,1.575,21.219046,$16278.1M,5.4M
0,GLW,20.39,34.26,17.44,0.347,58.760803,$15476.0M,6.9M
0,DD,44.72,77.03,23.75,0.666,67.14715,$32815.3M,7.9M
0,WEN,19.28,24.04,6.82,0.58,33.241383,$4291.5M,5.5M
0,ECL,191.52,211.24,124.6,5.29,36.20416,$55381.1M,1.8M
0,EFX,141.71,164.77,103.01,2.224,63.71853,$17201.5M,1.1M
0,FMC,89.64,108.77,56.77,3.62,24.762432,$11603.1M,1.2M
0,GGG,44.38,56.99,38.43,1.91,23.235603,$7393.6M,1.0M
0,HAS,69.07,126.87,41.33,3.233,21.364058,$9463.1M,1.9M
0,HEI,82.47,147.93,52.01,2.7,30.544445,$9976.2M,1.0M
0,HSY,131.25,162.2,109.88,5.3,24.76415,$27301.3M,1.4M
0,HRL,46.46,51.53,37.0,1.81,25.668509,$24985.1M,3.3M
0,ITW,158.34,190.85,115.94,7.74,20.457365,$50275.8M,1.9M
0,IFF,127.9,152.95,92.14,4.0,31.975,$13660.0M,1.4M
0,IP,33.37,47.64,26.38,1.665,20.042042,$13128.8M,3.9M
0,KSU,123.93,178.59,92.86,5.962,20.78665,$11775.9M,1.5M
0,K,63.67,71.05,51.34,2.991,21.287195,$21806.9M,2.7M
0,LLY,153.28,164.9,101.36,6.036,25.394302,$146694.8M,4.8M
0,MMC,98.74,119.88,74.33,3.489,28.300371,$49774.4M,2.8M
0,MKC,157.39,174.58,112.23,5.209,30.215012,$20970.3M,1.0M
