Ticker Symbol,Company Legal Name,Business Description
AIR,AAR Corp,"AAR CORP. provides products and services to commercial aviation, government, and defense markets worldwide."
ABT,Abbott Laboratories,Abbott Laboratories manufactures and sells health care products worldwide.
ACET,Aceto Corp,"Aceto Corporation, together with its subsidiaries, sources, markets, sells, and distributes finished dosage form generics, nutraceutical products, pharmaceutical intermediates and active ingredients, agricultural protection products, and specia"
ACU,Acme United Corp,"Acme United Corporation, together with its subsidiaries, supplies cutting, measuring, first aid, and sharpening products to the school, home, office, hardware, sporting good, and industrial markets in the United States, Canada, Europe, and Asia"
AE,Adams Resources & Energy Inc.,"Adams Resources & Energy, Inc., through its subsidiaries, engages in the marketing of crude oil, tank truck transportation of liquid chemicals and dry bulk, and exploration and production of oil and gas in the United States."
RWC,Relm Wireless Corp,"RELM Wireless Corporation designs, manufactures, and markets wireless communications products in the United States and internationally. The company offers two-way land mobile radios, repeaters, base stations, and related components and subsyste"
AMD,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide."
APD,Air Products and Chemicals Inc.,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, electronics and performance materials, equipment, and services worldwide."
AKRX,Akorn Inc,"Akorn, Inc., a specialty generic pharmaceutical company, develops, manufactures, and markets specialized generic and branded pharmaceuticals, over-the-counter (OTC) drug products, and animal health products in the United States and internationa"
CECE,CECO Environmental Corp.,"CECO Environmental Corp. provides critical solutions to the environmental, energy, and fluid handling and filtration industries worldwide. The company operates through three segments: Energy, Environmental, and Fluid Handling and Filtration."
MATX,Matson Inc,"Matson, Inc., through its subsidiaries, operates as an ocean cargo carrier. The company operates in two segments, Ocean Transportation and Logistics."
ALCO,Alico Inc,"Alico, Inc., together with its subsidiaries, operates as an agribusiness and land management company in the United States. The company operates through three segments: Alico Citrus, Conservation and Environmental Resources, and Other Operations"
LNG,Cheniere Energy Inc.,"Cheniere Energy, Inc., an energy company, engages in the liquefied natural gas (LNG) related businesses in the United States. It operates through two segments, LNG Terminal Business, and LNG and Natural Gas Marketing Business."
SWKS,Skyworks Solutions Inc,"Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products, including intellectual property worldwide."
IDSA,Industrial Services of America Inc,"Industrial Services of America, Inc. buys, processes, and markets ferrous and non-ferrous metals and other recyclable commodities."
AA,Alcoa Corp,"Alcoa Corporation produces and sells bauxite, alumina, and aluminum products. It operates through six segments, Bauxite, Alumina, Aluminum, Cast Products, Energy, and Rolled Products."
ARNC,Arconic Inc,"Arconic Inc. engineers, manufactures, and sells lightweight metals of aluminum, titanium, and nickel worldwide. It operates through three segments: Global Rolled Products, Engineered Products and Solutions, and Transportation and Construction S"
HES,Hess Corp,"Hess Corporation, an exploration and production company, develops, produces, purchases, transports, and sells crude oil, natural gas liquids, and natural gas. The company operates in two segments, Exploration and Production, and Bakken Midstrea"
UHAL,Amerco,AMERCO operates as a `do-it-yourself' moving and storage operator for household and commercial goods in the United States and Canada.
AEP,American Electric Power Co Inc,"American Electric Power Company, Inc., a public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States."
AXP,American Express Co,"American Express Company, together with its subsidiaries, provides charge and credit payment card products and travel-related services to consumers and businesses worldwide. It operates through four segments: U.S."
AFL,AFLAC Inc,"Aflac Incorporated, through its subsidiary, American Family Life Assurance Company of Columbus, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S."
AIG,American International Group Inc,"American International Group, Inc. provides insurance products for commercial, institutional, and individual customers primarily in the United States, Europe, and Japan."
UNM,Unum Group,"Unum Group, together with its subsidiaries, provides group and individual disability insurance products and services primarily in the United States and the United Kingdom. It operates through Unum US, Unum UK, Colonial Life, and Closed Block se"
AVD,American Vanguard Corp,"American Vanguard Corporation, through its subsidiaries, develops, manufactures, and markets specialty chemicals for agricultural, commercial, and consumer uses in the United States and internationally."
AP,Ampco-Pittsburgh Corp,"Ampco-Pittsburgh Corporation, together with its subsidiaries, manufactures and sells custom designed engineering products to commercial and industrial users worldwide. It operates in two segments, Forged and Cast Engineered Products, and Air an"
AAL,American Airlines Group Inc,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2016, the company operated a mainline fleet of 930 aircraf"
AXR,AMREP Corp.,"AMREP Corporation, through its subsidiaries, provides real estate and fulfillment services."
ADI,Analog Devices Inc.,"Analog Devices, Inc. designs, manufactures, and markets a portfolio of solutions that leverage analog, mixed-signal, and digital signal processing technology, including integrated circuits (ICs), algorithms, software, and subsystems."
ALOG,Analogic Corp,"Analogic Corporation designs, manufactures, and sells medical imaging systems, ultrasound and security systems, and subsystems to original equipment manufacturers (OEMs) and end users primarily for the medical and airport security markets world"
APA,Apache Corp,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids."
APOG,Apogee Enterprises Inc,"Apogee Enterprises, Inc. designs and develops glass products and services in the United States, Canada, and Brazil. The company operates through four segments: Architectural Glass, Architectural Framing Systems, Architectural Services, and Larg"
SSI,Stage Stores Inc,"Stage Stores, Inc. operates specialty department stores primarily in small and mid-sized towns and communities in the United States. Its merchandise portfolio comprises moderately priced brand name and private label apparel, accessories, cosmet"
AMAT,Applied Materials Inc.,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries worldwide. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display an"
ATU,Actuant Corp,"Actuant Corporation designs, manufactures, and distributes a range of industrial products and systems worldwide. It operates through three segments: Industrial, Energy, and Engineered Solutions."
TREC,Trecora Resources,"Trecora Resources primarily manufactures and sells various specialty hydrocarbons and synthetic waxes in the United States. The company operates two segments, Petrochemical and Specialty Waxes."
ADM,Archer-Daniels-Midland Co,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities and products. Its Agricultural Services segment offers agricultural commodities, including oilseeds, corn, wheat, milo, oats, rice"
SWN,Southwestern Energy Co,"Southwestern Energy Company, an independent natural gas and oil company, engages in the exploration, development, and production of natural gas and oil in the United States. It operates through two segments, Exploration and Production, and Mids"
AWI,Armstrong World Industries Inc,"Armstrong World Industries, Inc. designs, manufactures, and sells ceiling systems for use primarily in the construction and renovation of residential, commercial, and institutional buildings worldwide."
ARW,Arrow Electronics Inc,"Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions worldwide. The company operates in two segments, Global Components and Global Ente"
ARTW,Art's Way Manufacturing Co. Inc,"Art's-Way Manufacturing Co., Inc. manufactures and sells agricultural equipment, specialized modular science buildings, and steel cutting tools. The company operates through three segments: Agricultural Products, Modular Buildings, and Tools."
ASB,Associated Banc-Corp,"Associated Banc-Corp, a bank holding company, provides various banking and nonbanking products to individuals and businesses primarily in Wisconsin, Illinois, and Minnesota."
ATRO,Astronics Corp,"Astronics Corporation, through its subsidiaries, designs and manufactures products for the aerospace, defense, electronics, and semiconductor industries worldwide. It operates in two segments, Aerospace and Test Systems."
ALOT,AstroNova Inc,"AstroNova, Inc. designs, develops, manufactures, and distributes specialty printers, and data acquisition and analysis systems in the United States, Canada, and Western Europe. The company operates in two segments, Product Identification and Te"
AAME,Atlantic American Corp,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States."
ATW,Atwood Oceanics Inc.,"Atwood Oceanics, Inc., an offshore drilling contractor, engages in the drilling and completion of exploratory and developmental oil and gas wells. As of November 11, 2016, it owned a fleet of 10 mobile offshore drilling units."
ADP,Automatic Data Processing Inc.,"Automatic Data Processing, Inc., together with its subsidiaries, provides business process outsourcing services worldwide. The company operates through two segments, Employer Services and Professional Employer Organization (PEO) Services."
AVY,Avery Dennison Corp,Avery Dennison Corporation produces and sells pressure-sensitive materials worldwide.
AVT,Avnet Inc,"Avnet, Inc., together with its subsidiaries, distributes electronic components worldwide. The company operates through two segments, Electronic Components and Premier Farnell."
AVP,Avon Products Inc.,"Avon Products, Inc. manufactures and markets beauty and related products in Europe, the Middle East, Africa, South Latin America, North Latin America, and the Asia Pacific."
AZZ,AZZ Inc,"AZZ Inc. provides galvanizing services, welding solutions, specialty electrical equipment, and highly engineered services to the power generation, transmission, distribution, refining, and industrial markets. The company operates through two se"
BMI,Badger Meter Inc.,"Badger Meter, Inc. provides flow measurement, control, and communication solutions worldwide."
BCPC,Balchem Corp,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and products for the food, nutritional, feed, pharmaceutical, and medical sterilization industries in the United States and internationally."
BLL,Ball Corp,"Ball Corporation supplies metal packaging products to the beverage, food, personal care, and household industries."
