,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exhange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
0,AIR,AAR Corp.,18.33,-6.38,-1.25,17.63,19.2242,52.78,8.56,643395840.0,16.840857,36.395363,346109,420860,NYSE,19.02,19.58,1.249,14.675741,2020-03-24T20:05:04.000+0000,35100700,1588470024
0,ABT,Abbott Laboratories,89.85,-2.43,-2.24,88.75,91.3575,100.0,61.61,158444191744.0,83.81857,84.75116,6674922,10404822,NYSE,91.0,92.09,1.991,45.128075,2020-04-16T11:30:04.000+0000,1763430016,1588470024
0,ACU,Acme United Corporation,22.33,2.86,0.62,20.94,22.4,24.91,17.1,74853064.0,20.551144,22.065218,21303,13344,AMEX,21.2165,21.71,1.715,13.020408,2020-04-17T14:59:00.000+0000,3352130,1588470025
0,AE,"Adams Resources & Energy, Inc.",27.5,-1.56,-0.435,25.7083,27.84,39.7,15.16,116477072.0,22.533714,30.66884,3949,7426,AMEX,27.2,27.935,1.94,14.175258,2020-03-06T02:00:00.000+0000,4235530,1588470025
0,AMD,"Advanced Micro Devices, Inc.",49.88,-4.79,-2.51,49.09,51.95,59.27,26.03,58418958336.0,48.747715,44.9042,69562656,81964717,NASDAQ,51.07,52.39,0.426,117.0892,2020-04-28T20:25:10.000+0000,1171190016,1588470025
0,APD,"Air Products and Chemicals, Inc.",222.25,-1.48,-3.33,218.87,222.9,257.01,167.43,49085026304.0,206.048,225.48985,801526,1498828,NYSE,220.39,225.58,8.754,25.388395,2020-04-23T10:00:07.000+0000,220855008,1588470026
0,AKRX,"Akorn, Inc.",0.25,19.05,0.04,0.2314,0.295,5.46,0.18,33247500.0,0.36114284,2.0285506,62347690,8291633,NASDAQ,0.2497,0.21,-1.8,,2020-02-27T02:00:00.000+0000,132990000,1588470026
0,CECE,CECO Environmental Corp.,5.2,-4.06,-0.22,5.01,5.33,9.84,3.53,183757072.0,4.701143,6.808696,62370,90393,NASDAQ,5.33,5.42,0.5,10.4,2020-05-06T16:30:00.000+0000,35337900,1588470026
0,MATX,"Matson, Inc.",29.41,-2.74,-0.83,28.77,29.99,42.16,26.0,1265826944.0,29.513428,35.536957,252890,232476,NYSE,29.7,30.24,1.91,15.397906,2020-05-06T00:00:00.000+0000,43040700,1588470026
0,ALCO,"Alico, Inc.",29.61,1.02,0.3,28.005,29.7,38.25,22.55,221473040.0,28.419714,32.888405,14090,22682,NASDAQ,28.65,29.31,5.487,5.3963914,2020-02-06T21:15:10.000+0000,7479670,1588470027
